               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04296,            0.039443,           0.0078947,             0.71614,             0.58634,             0.63177,             0.32964,            0.040428,            0.030803,           0.0099639,           0.0095717,           0.0095717,           0.0095717
                  37,            0.044755,            0.041932,           0.0081138,             0.84901,             0.50953,              0.5852,             0.37641,            0.040705,            0.033775,            0.012003,           0.0095473,           0.0095473,           0.0095473
                  38,            0.043066,            0.037252,           0.0076213,             0.60272,             0.59367,             0.60998,             0.38394,            0.040114,            0.031537,            0.010563,           0.0095223,           0.0095223,           0.0095223
                  39,            0.043796,            0.041296,           0.0075911,             0.81123,             0.59108,             0.67279,             0.33794,             0.03892,            0.031379,             0.01059,           0.0094966,           0.0094966,           0.0094966
                  40,            0.042654,            0.038956,           0.0080718,             0.82782,             0.59831,             0.65095,             0.35911,             0.03878,            0.031766,            0.010404,           0.0094703,           0.0094703,           0.0094703
                  41,            0.042914,            0.039927,           0.0080207,             0.65497,             0.63264,             0.63848,             0.32561,             0.03928,            0.033527,            0.010657,           0.0094434,           0.0094434,           0.0094434
                  42,             0.04252,            0.039175,           0.0075167,              0.8064,             0.54676,             0.64773,             0.36975,            0.039028,            0.031945,            0.010503,           0.0094158,           0.0094158,           0.0094158
                  43,            0.041785,            0.037435,           0.0077558,             0.77859,             0.56276,             0.65414,             0.35521,             0.03948,            0.031629,            0.010491,           0.0093877,           0.0093877,           0.0093877
                  44,            0.041885,            0.038593,           0.0070908,             0.72735,             0.63306,             0.68447,              0.4026,            0.038773,            0.030958,           0.0099304,           0.0093589,           0.0093589,           0.0093589
                  45,              0.0415,            0.037277,           0.0069112,             0.74352,             0.56157,             0.63233,             0.32457,            0.039407,            0.033652,            0.011272,           0.0093295,           0.0093295,           0.0093295
                  46,            0.040966,            0.038972,           0.0069566,             0.69672,             0.59536,             0.62894,             0.32044,            0.039252,            0.032071,            0.010103,           0.0092995,           0.0092995,           0.0092995
                  47,            0.040829,              0.0385,           0.0069294,             0.83547,             0.59953,             0.67705,             0.38438,             0.03895,            0.030783,           0.0095782,           0.0092689,           0.0092689,           0.0092689
                  48,            0.040071,            0.036982,           0.0069793,             0.74377,             0.58374,             0.63221,             0.32478,            0.039823,            0.031959,            0.010847,           0.0092377,           0.0092377,           0.0092377
                  49,            0.041746,            0.039054,            0.006829,             0.82773,             0.53152,             0.65835,             0.40949,            0.037774,            0.031822,           0.0099428,           0.0092059,           0.0092059,           0.0092059
                  50,             0.04104,            0.038455,           0.0072533,             0.80781,             0.55792,             0.66005,             0.39056,            0.038258,             0.03133,           0.0097336,           0.0091735,           0.0091735,           0.0091735
                  51,             0.04077,            0.036975,           0.0066909,             0.78067,             0.58917,              0.6614,             0.38881,            0.037632,            0.031391,           0.0099371,           0.0091406,           0.0091406,           0.0091406
                  52,            0.039681,            0.037327,           0.0065266,             0.75844,             0.58788,             0.64167,             0.38838,            0.038452,            0.031647,            0.010257,           0.0091071,           0.0091071,           0.0091071
                  53,            0.041158,            0.038255,            0.006663,             0.78029,             0.57226,             0.62612,             0.39619,            0.038333,             0.03138,            0.010548,            0.009073,            0.009073,            0.009073
                  54,            0.040167,            0.038311,           0.0066295,             0.73141,             0.60071,             0.66128,             0.39395,            0.038398,            0.031598,            0.010669,           0.0090383,           0.0090383,           0.0090383
                  55,            0.039976,            0.038452,            0.006294,             0.64185,             0.58447,             0.61425,             0.34913,            0.038887,            0.031754,            0.010241,           0.0090031,           0.0090031,           0.0090031
                  56,            0.039575,            0.035634,           0.0062745,             0.71191,             0.57482,              0.6215,             0.36234,            0.040937,            0.034577,            0.011679,           0.0089673,           0.0089673,           0.0089673
                  57,            0.040312,            0.036875,           0.0064023,             0.74005,              0.5462,             0.63157,             0.36599,            0.037724,            0.030786,           0.0093455,            0.008931,            0.008931,            0.008931
                  58,            0.039779,            0.035849,           0.0064792,              0.8052,              0.5519,             0.64979,             0.40224,            0.037887,            0.031301,           0.0099261,           0.0088941,           0.0088941,           0.0088941
                  59,            0.038563,            0.037551,           0.0065276,             0.76082,             0.60688,             0.65748,             0.41238,            0.038131,            0.030445,           0.0094366,           0.0088567,           0.0088567,           0.0088567
                  60,            0.039149,             0.03709,            0.005909,             0.83181,             0.60573,             0.67655,             0.40447,            0.037276,            0.030971,           0.0089411,           0.0088188,           0.0088188,           0.0088188
                  61,            0.039449,            0.037773,           0.0062372,             0.80208,             0.57041,             0.66073,             0.43469,            0.037938,            0.031994,            0.010398,           0.0087804,           0.0087804,           0.0087804
                  62,            0.039258,            0.036626,           0.0061569,             0.67097,              0.5927,             0.62473,             0.35172,             0.03857,            0.032697,            0.011062,           0.0087414,           0.0087414,           0.0087414
                  63,            0.039481,            0.036516,           0.0061023,             0.82142,             0.59525,             0.66299,              0.3409,             0.03811,            0.031816,            0.010484,           0.0087019,           0.0087019,           0.0087019
                  64,            0.038261,            0.038502,           0.0059983,             0.76774,              0.5666,              0.6353,             0.32905,            0.037718,            0.032048,            0.009913,           0.0086619,           0.0086619,           0.0086619
                  65,            0.038293,            0.036601,           0.0059573,              0.7388,             0.60494,             0.65842,             0.38347,            0.037454,            0.031957,           0.0096943,           0.0086214,           0.0086214,           0.0086214
                  66,            0.038966,             0.03776,           0.0056722,             0.85475,              0.5136,             0.64175,             0.36737,             0.03868,            0.032876,           0.0099271,           0.0085805,           0.0085805,           0.0085805
                  67,            0.038313,            0.036761,           0.0061181,             0.78227,             0.62301,             0.67646,             0.33742,            0.037294,            0.031396,           0.0094537,            0.008539,            0.008539,            0.008539
                  68,            0.039178,            0.038319,            0.006153,             0.76444,             0.61906,             0.70033,             0.42867,            0.036589,            0.030232,           0.0090258,           0.0084971,           0.0084971,           0.0084971
                  69,            0.038108,            0.037118,           0.0058079,             0.83226,             0.57773,             0.68881,              0.4228,            0.036188,            0.030811,           0.0086532,           0.0084546,           0.0084546,           0.0084546
                  70,            0.038688,            0.037097,           0.0056847,             0.69809,             0.62199,             0.65597,             0.43937,            0.037095,            0.032007,           0.0099633,           0.0084118,           0.0084118,           0.0084118
                  71,            0.037534,            0.037244,           0.0054742,              0.8267,             0.55198,             0.64806,             0.40512,            0.037096,            0.031386,           0.0095687,           0.0083684,           0.0083684,           0.0083684
                  72,            0.037793,            0.036406,           0.0058081,             0.78628,             0.57573,             0.63239,             0.40697,             0.03921,            0.033477,           0.0099322,           0.0083246,           0.0083246,           0.0083246
                  73,            0.037605,            0.034772,           0.0057216,             0.84068,             0.61944,             0.66525,             0.41648,            0.037444,            0.032146,           0.0094495,           0.0082804,           0.0082804,           0.0082804
                  74,            0.036801,            0.035169,           0.0054463,             0.80211,              0.5982,              0.6594,             0.42388,            0.036677,            0.031277,           0.0098752,           0.0082357,           0.0082357,           0.0082357
                  75,            0.037007,            0.036168,           0.0055462,             0.72352,             0.62482,             0.65624,             0.41768,            0.037195,            0.031546,            0.009791,           0.0081906,           0.0081906,           0.0081906
                  76,             0.03653,            0.036901,           0.0055858,             0.77953,             0.61262,             0.66263,             0.37003,             0.03757,            0.031473,             0.01028,            0.008145,            0.008145,            0.008145
                  77,            0.038109,            0.036566,           0.0055921,             0.79888,             0.60855,             0.66558,             0.41207,            0.036727,            0.031289,           0.0098618,           0.0080991,           0.0080991,           0.0080991
                  78,            0.036595,            0.035522,           0.0054751,             0.82341,             0.62224,             0.68157,             0.42155,            0.036709,             0.03083,           0.0090322,           0.0080527,           0.0080527,           0.0080527
                  79,            0.037079,            0.033906,            0.005361,             0.78921,             0.62906,              0.6874,             0.44429,            0.036508,            0.030447,           0.0090184,           0.0080059,           0.0080059,           0.0080059
                  80,            0.037216,            0.035824,           0.0055793,              0.7302,             0.61202,              0.6578,             0.41775,            0.036963,            0.030914,            0.010384,           0.0079588,           0.0079588,           0.0079588
                  81,             0.03675,              0.0351,           0.0057377,             0.77687,             0.59687,             0.64228,             0.43028,            0.037636,            0.033184,            0.010232,           0.0079112,           0.0079112,           0.0079112
                  82,            0.036971,            0.034862,           0.0053339,             0.75887,              0.6037,             0.67265,              0.4012,            0.036828,            0.031118,           0.0092424,           0.0078633,           0.0078633,           0.0078633
                  83,            0.035355,            0.034041,           0.0050074,             0.85508,             0.59838,             0.67813,             0.45837,             0.03692,            0.031051,           0.0086173,            0.007815,            0.007815,            0.007815
                  84,             0.03592,            0.033731,           0.0053973,             0.73418,             0.63539,              0.6896,             0.40392,            0.036739,            0.030919,           0.0089301,           0.0077663,           0.0077663,           0.0077663
                  85,             0.03732,            0.035784,           0.0052005,             0.85186,             0.59538,             0.68199,             0.41143,            0.036321,             0.03114,           0.0091662,           0.0077173,           0.0077173,           0.0077173
                  86,            0.035804,            0.035354,           0.0049834,             0.77678,             0.60085,             0.67389,             0.44046,            0.036031,            0.030553,           0.0096487,           0.0076679,           0.0076679,           0.0076679
                  87,            0.036641,            0.035474,           0.0051602,             0.87823,             0.57402,             0.66796,             0.41225,            0.037053,            0.031555,            0.010096,           0.0076182,           0.0076182,           0.0076182
                  88,            0.036016,            0.033887,           0.0050615,             0.83106,             0.59171,              0.6747,             0.40541,            0.036581,            0.030738,           0.0092169,           0.0075681,           0.0075681,           0.0075681
                  89,            0.037156,            0.035994,           0.0050876,             0.79361,              0.6213,             0.67976,             0.45026,              0.0361,            0.031132,           0.0094332,           0.0075177,           0.0075177,           0.0075177
                  90,            0.035075,            0.033992,           0.0048824,             0.83019,             0.59656,             0.67705,             0.42721,            0.036246,            0.030425,           0.0099043,            0.007467,            0.007467,            0.007467
                  91,            0.035159,            0.033681,           0.0048076,             0.81022,             0.61995,             0.67917,             0.41471,            0.036017,            0.031278,           0.0097801,            0.007416,            0.007416,            0.007416
                  92,            0.035904,            0.034795,           0.0047667,             0.81576,             0.61654,                 0.7,              0.4365,            0.035779,            0.030733,           0.0091123,           0.0073647,           0.0073647,           0.0073647
                  93,            0.036209,            0.033999,           0.0049272,             0.77338,             0.62843,             0.69417,             0.46299,            0.036161,            0.031307,           0.0091648,           0.0073131,           0.0073131,           0.0073131
                  94,            0.036553,             0.03474,           0.0049545,             0.89458,             0.57784,             0.68427,             0.42157,            0.036226,             0.03163,           0.0099001,           0.0072612,           0.0072612,           0.0072612
                  95,            0.034895,            0.033723,           0.0047446,             0.82089,             0.62617,             0.67914,             0.44189,             0.03646,            0.031672,           0.0094645,            0.007209,            0.007209,            0.007209
                  96,            0.035542,            0.034474,           0.0046511,             0.76298,             0.64481,             0.69758,             0.44631,            0.036585,             0.03094,           0.0088979,           0.0071566,           0.0071566,           0.0071566
                  97,            0.035541,            0.035519,           0.0048859,             0.77695,             0.64211,             0.69658,             0.43846,             0.03514,             0.03074,           0.0086053,           0.0071039,           0.0071039,           0.0071039
                  98,            0.035732,            0.034641,           0.0046144,             0.84192,             0.61711,              0.6872,             0.41655,            0.036315,            0.030705,           0.0089234,           0.0070509,           0.0070509,           0.0070509
                  99,            0.034014,            0.032742,            0.004711,             0.75073,             0.61749,             0.64146,              0.4354,            0.037441,            0.032391,            0.010181,           0.0069977,           0.0069977,           0.0069977
                 100,            0.036295,            0.035697,           0.0050268,             0.82522,              0.6022,             0.67554,             0.44089,            0.036112,            0.031252,           0.0096365,           0.0069442,           0.0069442,           0.0069442
                 101,            0.034861,            0.034124,           0.0047269,             0.83651,              0.6123,             0.66227,             0.42783,            0.036282,            0.031265,            0.009804,           0.0068906,           0.0068906,           0.0068906
                 102,            0.034964,            0.034284,           0.0047368,             0.78622,             0.62539,             0.67371,             0.41066,            0.036406,            0.032069,           0.0096982,           0.0068367,           0.0068367,           0.0068367
                 103,            0.034303,            0.034021,           0.0045186,             0.77964,             0.62471,              0.6797,             0.40093,             0.03645,             0.03131,           0.0098922,           0.0067826,           0.0067826,           0.0067826
                 104,            0.034699,             0.03412,            0.004512,              0.8115,             0.61349,             0.67156,             0.44781,            0.036205,            0.031189,           0.0099856,           0.0067283,           0.0067283,           0.0067283
                 105,            0.034298,            0.033094,           0.0042631,               0.864,             0.61981,             0.69883,             0.42978,            0.035471,            0.030177,           0.0090026,           0.0066738,           0.0066738,           0.0066738
                 106,            0.034862,            0.034458,           0.0045676,             0.80977,              0.6329,             0.68905,             0.42003,            0.035877,            0.030838,           0.0092619,           0.0066191,           0.0066191,           0.0066191
                 107,            0.034306,             0.03404,           0.0043712,             0.83827,             0.63417,             0.68698,             0.41582,             0.03632,            0.031648,           0.0094576,           0.0065642,           0.0065642,           0.0065642
                 108,            0.034597,            0.033878,           0.0042533,             0.86764,             0.61145,             0.69536,             0.46046,            0.035612,             0.03106,           0.0094742,           0.0065092,           0.0065092,           0.0065092
                 109,            0.033889,            0.033914,           0.0046327,             0.84378,             0.62877,             0.70082,             0.44907,            0.035322,            0.030366,           0.0093461,            0.006454,            0.006454,            0.006454
                 110,            0.034141,            0.034738,           0.0045022,             0.73678,             0.63972,             0.68959,             0.45502,            0.035885,            0.030655,           0.0095931,           0.0063987,           0.0063987,           0.0063987
                 111,            0.034053,            0.032975,           0.0042075,             0.84876,             0.63848,             0.70294,             0.42645,            0.035187,            0.030481,            0.008878,           0.0063432,           0.0063432,           0.0063432
                 112,             0.03345,            0.032951,           0.0042957,             0.86291,             0.62587,             0.71616,              0.4274,            0.035282,            0.029849,           0.0086117,           0.0062876,           0.0062876,           0.0062876
                 113,            0.035512,            0.035354,           0.0044965,             0.83523,             0.62489,             0.72362,             0.44481,            0.035482,            0.030278,           0.0085307,           0.0062319,           0.0062319,           0.0062319
                 114,            0.034034,             0.03367,            0.004426,             0.79957,             0.61715,             0.69372,             0.42941,            0.036091,            0.031678,             0.00933,            0.006176,            0.006176,            0.006176
                 115,            0.033325,            0.033056,           0.0044833,             0.87126,             0.61013,             0.69452,             0.45497,            0.035514,            0.031153,           0.0094906,           0.0061201,           0.0061201,           0.0061201
                 116,            0.034729,            0.034924,           0.0044461,             0.85564,             0.61955,             0.68997,             0.42221,            0.036142,            0.031488,           0.0096286,            0.006064,            0.006064,            0.006064
